year,r_t_10y_avg_pct,cpi_u_avg_index,inflation_yoy_pct,bay_area_pcpi_usd,bay_area_gdp_total_musd,bay_area_population_thousand,bay_area_gdp_pc_usd
2015,2.136,237.002,0.12,79551,446022.555,4648.164,95956.716
2016,1.842,240.005,1.27,83806,474991.913,4688.017,101320.433
2017,2.33,245.121,2.13,89556,526582.864,4711.551,111764.229
2018,2.91,251.1,2.44,95970,569521.796,4725.613,120518.078
2019,2.144,255.653,1.81,99886,610192.101,4724.016,129168.085
2020,0.894,258.856,1.25,108866,616887.401,4740.552,130129.867
2021,1.443,270.968,4.68,123973,702995.339,4616.61,152275.228
2022,2.952,292.625,7.99,123152,731715.579,4579.599,159777.216
2023,3.957,304.704,4.13,130730,778877.804,4532.448,171844.846
2024,4.208,313.698,2.95,134245.376,819837.48,4485.782,182763.552
2025,4.292,322.208,2.71,137855.282,862951.146,4439.597,194376.011
